速度(km/hr),國道客運/遊覽車國道(國5除外)能耗(l/km),國道客運/遊覽車國道(國5除外)CO2排放(g/km),國道客運/遊覽車國道5號能耗(l/km),國道客運/遊覽車國道5號CO2排放(g/km),國道客運/遊覽車省道能耗(l/km),國道客運/遊覽車省道CO2排放(g/km),市區公車市區道路能耗(l/km),市區公車市區道路CO2排放(g/km)
5,0.4325,1127.1587,0.5583,1455.0231,0.3445,897.7292,1.7142,4467.1354
6,0.3788,987.1296,0.4812,1254.0858,0.3093,806.1346,1.4396,3751.6750
7,0.3404,887.1088,0.4281,1115.5097,0.2841,740.4198,1.2531,3265.4594
8,0.3116,812.0932,0.3897,1015.5244,0.2651,690.8378,1.1198,2918.2298
9,0.2892,753.7478,0.3611,940.9336,0.2502,651.9733,1.0207,2660.0728
10,0.2713,707.0714,0.3392,883.8284,0.2381,620.5772,0.9445,2461.2475
11,0.2567,668.8817,0.3220,839.1835,0.2282,594.5820,0.8837,2303.0164
12,0.2445,637.0569,0.3084,803.6562,0.2197,572.6093,0.8339,2173.0604
13,0.2341,610.1282,0.2974,774.9389,0.2125,553.7047,0.7916,2063.0105
14,0.2253,587.0465,0.2883,751.3895,0.2061,537.1866,0.7548,1967.0368
15,0.2176,567.0424,0.2808,731.8097,0.2005,522.5553,0.7218,1881.0022
16,0.2109,549.5387,0.2745,715.3060,0.1955,509.4357,0.6915,1801.9333
17,0.2049,534.0943,0.2691,701.2005,0.1909,497.5412,0.6630,1727.6785
18,0.1997,520.3660,0.2644,688.9706,0.1867,486.6488,0.6357,1656.6792
19,0.1950,508.0827,0.2602,678.2083,0.1829,476.5826,0.6093,1587.8142
20,0.1907,497.0278,0.2566,668.5917,0.1793,467.2016,0.5834,1520.2901
21,0.1869,487.0257,0.2532,659.8643,0.1759,458.3918,0.5578,1453.5633
22,0.1834,477.9329,0.2501,651.8200,0.1727,450.0601,0.5323,1387.2832
23,0.1802,469.6308,0.2472,644.2925,0.1697,442.1292,0.5070,1321.2504
24,0.1773,462.0205,0.2445,637.1468,0.1667,434.5351,0.4817,1255.3851
25,0.1746,455.0191,0.2419,630.2731,0.1639,427.2238,0.4565,1189.7030
26,0.1721,448.5562,0.2393,623.5816,0.1612,420.1496,0.4314,1124.2972
27,0.1698,442.5721,0.2368,616.9992,0.1586,413.2737,0.4065,1059.3239
28,0.1677,437.0153,0.2343,610.4663,0.1560,406.5627,0.3818,994.9907
29,0.1657,431.8419,0.2317,603.9345,0.1535,399.9879,0.3575,931.5483
30,0.1639,427.0133,0.2292,597.3647,0.1510,393.5245,0.3336,869.2830
31,0.1621,422.4962,0.2267,590.7258,0.1486,387.1506,0.3102,808.5108
32,0.1605,418.2615,0.2241,583.9932,0.1461,380.8475,0.2876,749.5734
33,0.1590,414.2834,0.2215,577.1479,0.1437,374.5983,0.2659,692.8335
34,0.1575,410.5393,0.2188,570.1757,0.1414,368.3884,0.2451,638.6722
35,0.1562,407.0091,0.2161,563.0666,0.1390,362.2047,0.2254,587.4863
36,0.1549,403.6751,0.2133,555.8140,0.1366,356.0357,0.2071,539.6861
37,0.1537,400.5213,0.2104,548.4145,0.1343,349.8710,0.1902,495.6935
38,0.1525,397.5335,0.2075,540.8672,0.1319,343.7014,0.1750,455.9406
39,0.1515,394.6989,0.2046,533.1737,0.1295,337.5185,0.1615,420.8681
40,0.1504,392.0060,0.2016,525.3373,0.1271,331.3150,0.1500,390.9249
41,0.1494,389.4445,0.1985,517.3635,0.1247,325.0841,0.1407,366.5661
42,0.1485,387.0050,0.1954,509.2590,0.1223,318.8197,0.1336,348.2532
43,0.1476,384.6789,0.1923,501.0322,0.1199,312.5162,0.1291,336.4529
44,0.1468,382.4586,0.1891,492.6925,0.1175,306.1686,0.1273,331.6365
45,0.1459,380.3369,0.1858,484.2503,0.1150,299.7725,0.1283,334.2794
46,0.1452,378.3075,0.1825,475.7174,0.1126,293.3234,0.1323,344.8608
47,0.1444,376.3645,0.1792,467.1060,0.1101,286.8177,0.1396,363.8633
48,0.1437,374.5024,0.1759,458.4294,0.1075,280.2519,0.1503,391.7724
49,0.1430,372.7163,0.1726,449.7014,0.1050,273.6227,0.1646,429.0762
50,0.1424,371.0016,0.1692,440.9365,0.1024,266.9271,0.1828,476.2652
51,0.1417,369.3542,0.1658,432.1498,,,,
52,0.1411,367.7702,0.1625,423.3569,,,,
53,0.1405,366.2459,0.1591,414.5739,,,,
54,0.1400,364.7781,0.1557,405.8171,,,,
55,0.1394,363.3637,0.1524,397.1035,,,,
56,0.1389,361.9998,0.1491,388.4502,,,,
57,0.1384,360.6837,0.1458,379.8748,,,,
58,0.1379,359.4130,0.1425,371.3952,,,,
59,0.1374,358.1854,0.1393,363.0292,,,,
60,0.1370,356.9987,0.1361,354.7954,,,,
61,0.1366,355.8510,0.1330,346.7122,,,,
62,0.1361,354.7402,0.1300,338.7983,,,,
63,0.1357,353.6647,0.1270,331.0728,,,,
64,0.1353,352.6228,0.1242,323.5547,,,,
65,0.1349,351.6130,0.1214,316.2633,,,,
66,0.1345,350.6338,0.1187,309.2181,,,,
67,0.1342,349.6838,0.1161,302.4385,,,,
68,0.1338,348.7617,0.1136,295.9444,,,,
69,0.1335,347.8664,0.1112,289.7554,,,,
70,0.1332,346.9967,0.1089,283.8916,,,,
71,0.1328,346.1514,0.1068,278.3729,,,,
72,0.1325,345.3296,0.1048,273.2195,,,,
73,0.1322,344.5304,0.1030,268.4515,,,,
74,0.1319,343.7527,0.1013,264.0893,,,,
75,0.1316,342.9958,0.0998,260.1532,,,,
76,0.1313,342.2588,0.0985,256.6637,,,,
